Month,Miles
Jan-17,670
Feb-17,720
Mar-17,503
Apr-17,650
May-17,1456
Jun-17,1009
Jul-17,1276
Aug-17,2936
Sep-17,799
Oct-17,789
Nov-17,498
Dec-17,592
Jan-18,659
Feb-18,298
Mar-18,702
Apr-18,691
May-18,678
Jun-18,1467
Jul-18,934
Aug-18,867
Sep-18,3256
Oct-18,823
Nov-18,673
Dec-18,598
Jan-19,780
Feb-19,666
Mar-19,409
Apr-19,701
May-19,1080
Jun-19,1221
Jul-19,845
Aug-19,1329
